five_minute_window,latency,status,method,endpoint
1402815600,427,200,GET,Recent
1402815900,329,200,GET,Recent
1402816200,293,200,GET,Recent
1402816200,75,302,GET,Recent
1402817400,242,200,GET,Recent
1402818000,332,200,GET,Recent
1402818300,288,200,GET,Recent
1402818900,299,200,GET,Recent
1402818900,21,302,GET,Recent
1402819800,294,200,GET,Recent
1402820400,111,200,GET,Recent
1402821000,361,200,GET,Recent
1402821600,207,200,GET,Recent
1402821900,369,200,GET,Recent
1402822200,331,200,GET,Recent
1402822500,294,200,GET,Recent
1402824300,257,200,GET,Recent
1402825200,411,200,GET,Recent
1402827300,376,200,GET,Recent
1402827600,470,200,GET,Recent
1402827600,148,302,GET,Recent
1402827900,344,200,GET,Recent
1402828800,289,200,GET,Recent
1402828800,21,302,GET,Recent
1402829100,147,302,GET,Recent
1402829100,452,200,GET,Recent
1402829400,423,200,GET,Recent
1402829700,274,200,GET,Recent
1402830000,238,200,GET,Recent
1402830300,327,200,GET,Recent
1402830900,372,200,GET,Recent
1402830900,22,302,GET,Recent
1402831800,328,200,GET,Recent
1402832400,343,200,GET,Recent
1402833300,343,200,GET,Recent
1402836900,300,200,GET,Recent
1402837200,21,302,GET,Recent
1402837200,271,200,GET,Recent
1402837500,291,200,GET,Recent
1402837800,23,302,GET,Recent
1402837800,329,200,GET,Recent
1402838100,346,200,GET,Recent
1402838400,222,200,GET,Recent
1402839000,266,200,GET,Recent
1402839600,346,200,GET,Recent
1402839900,373,200,GET,Recent
1402839900,21,302,GET,Recent
1402840800,22,302,GET,Recent
1402840800,439,200,GET,Recent
1402841100,223,200,GET,Recent
1402842900,406,200,GET,Recent
1402843200,426,200,GET,Recent
1402843500,381,200,GET,Recent
1402843800,29,302,GET,Recent
1402843800,397,200,GET,Recent
1402844100,463,200,GET,Recent
1402844700,315,200,GET,Recent
1402845000,18715,200,GET,Recent
1402845300,222,200,GET,Recent
1402845600,337,200,GET,Recent
1402846200,513,200,GET,Recent
1402847100,330,200,GET,Recent
1402847700,269,200,GET,Recent
1402848300,22,302,GET,Recent
1402848300,355,200,GET,Recent
1402848600,367,200,GET,Recent
1402848900,442,200,GET,Recent
1402848900,149,302,GET,Recent
1402849200,204,200,GET,Recent
1402849500,21,302,GET,Recent
1402849500,80,200,GET,Recent
1402850100,22,302,GET,Recent
1402850100,325,200,GET,Recent
1402850400,342,200,GET,Recent
1402850700,510,200,GET,Recent
1402851000,306,200,GET,Recent
1402851300,22,302,GET,Recent
1402851300,230,200,GET,Recent
1402851600,229,200,GET,Recent
1402851900,343,200,GET,Recent
1402852200,318,200,GET,Recent
1402852500,251,200,GET,Recent
1402852800,313,200,GET,Recent
1402853100,302,200,GET,Recent
1402853400,307,200,GET,Recent
1402853400,23,302,GET,Recent
